Q,Q_1 Thème,Q_2 Thème,Q_3 Thème,Q_4 Thème
qu ils envoient les factures quand ils creent des nouveaux comptes.,FACTURATION,ORGANISATION-PROCESS,,
"il faudrait qu ***** ecoute ses clients. j avais une demande initiale, ils n en ont pas tenu compte. il a fallu qu ils acceptent qu il y ait une erreur et qu ils relancent le traitement pour trouver une solution.",RELATION CLIENTELE,,,
la rapidite et la reaction,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
******* conforme a la demande et dans les delais,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
ameliorer les qualites de transferts des factures sur l espace client pour pouvoir les telecharger facilement et ne pas les facturer car si on en demande c est parce que nous ne les avons pas reçues.,FACTURATION,,,
"la reponse etait rapide et detaillee, mais il me manque une indication",RELATION CLIENTELE,RELATION CLIENTELE,,
satisfaite,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
etre vigilant sur les donnees des contrats clients renforcer les controles sur les donnees et droit d acces par rapport aux donnees qui sont communiquees. c est quand même important et du coup je ne sais pas si c est juste pour ce point la ou si des donnees plus sensibles ont pu être communiquees a un autre etablissement,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
1) mettre le bon ****** sur la facture pour avoir le bon service. arrêter d envoyer des mails automatiques avec le non prenom ************ du client s il n y a pas de suivi.,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
je fait le point avec vous sur les ref  puis 2 facture identique la même adresse  et 2 ref pour le même dossier plusieurs facture comme sa. et impossible de rajouter mais autre adresse sur le même espace client .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
avoir un interlocuteur privilegie,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que la personne a repondu a mes attentes. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
nous avons plus de techniciens qui passe de disponibles et nous devons le dossier nous même. c est devenu complique.,ORGANISATION-PROCESS,,,
parce qu il a fallu que je relance a plusieurs reprises car j avais des retours qui ne correspondaient pas a ma demande.,ALERTES risque client,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
bonne ecoute comprehension et traitement,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
j ai obtenu ce que je voulais dans les delais assez rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
car les probleme de reglement sont trse recurant.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un vrai suivi client,RELATION CLIENTELE,,,
continuer a repondre par mail comme ils le font ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
deja qu on puisse joindre les interlocuteurs plus facilement.apres cette histoire du code privilege.quand j appelle on me demande un code privilege pour joindre mon interlocuteur et quand j ai demande ce code on m a dit qu il n etait pas encore en vigueur mais sans ce code je ne pouvais pas joindre la personne. enfin les demandes par mail pas toujours tres claires. ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS
un accueille tres agreable et un suivi du dossier tenu et rapide,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
"parce que quand on fait une reclamation les services d ***** mettent tres longtemps a nous repondre. et on n a jamais le même interlocuteur, c est une difficulte.  on est obliges de correspondre par mails a chaque fois, car on ne nous repond pas et on ne nous rappelle jamais. donc le traitement des reclamations prend une certaine longueur. de plus il y eu des retards de production de factures.",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
c est suite a plusieurs problemes qu on a eu j attends toujours une reponse je reçois des factures que je ne devrais pas vu que les contrats ont ete resilies mais je continue a recevoir les factures;. il y a des sites qui ont dfisparus il y a eu ammalgamme. par rapport au nouveau marche notament un contrat resilie en 2016 je reçois toujours les factures a la place du nouveau loctaire. je reçois toujours les factures de briey ça a ete dit on a fait toute une demarche par mail et apparament on les reçoit sur chorus mais a briey pas chez nous .,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
engager des personnes competentes qui connaissent leur travail et pas seulement des gens landa qui repondent au telephone. il faudrait avoir un interlocuteur dedie qui repondent a nos demandent et ne pas être renvoye de services en services.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
repondre a l ensemble des demandes. le service en ligne est deja tres bien de même que les equipes telephoniques. merci,RELATION CLIENTELE,ORGANISATION-PROCESS,,
la personne qui m a repondu etait tres agreable ,RELATION CLIENTELE,,,
,IMPRESSIONS GENERALES,,,
parce que j ai reçu ce que j ai demande en ayant reçu la facture manquante on a repondu a mes attentes c est pour cela que je mets 10,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
les reponses ont ete donnees. mais sans mon initiative de ma part d appeler les services *****. je n avais pas les informations necessaires.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
tout est parfait,IMPRESSIONS GENERALES,,,
personne n est parfait,IMPRESSIONS GENERALES,,,
g,IMPRESSIONS GENERALES,,,
parce que j avais deja demande ulterieurement cette demande et elle n avait ete traitee. les frais de paiements sont abusifs alors qu on tres peu de temps pour payer les factures. nous devrions avoir un delais d un mois.,FACTURATION,FACTURATION,ORGANISATION-PROCESS,
.,IMPRESSIONS GENERALES,,,
parce qu on repondu a ma demande suite a la reception d un courrier qui n etait pas explicite.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que depuis le debut je reclame d avoir des factures et je continues de recevoir des recommandes alors que s est regle. on me met en demeure d unr situation qui est deja traitee.,FACTURATION,FACTURATION,,
mettre plus d humains dans les demarches ,ORGANISATION-PROCESS,,,
que ce soit moins cher;,CONTRAT,,,
avoir une personne referente afin de s entretenir par telephone et non par mail.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
"parce que la seule reponse que j ai eu en tant que professionnel, avec une multitude de compte, c est aller sur le site et imprimer vos factures sinon on vous fait payer, nous sommes au siege, nous n avons pas les codes internet, et les factures nous manque bref je ne suis pas satisfaite de vos pratiques",FACTURATION,FACTURATION,,
avons eu des reponses suite a nos demandes mais faut s habituer au site internet *****.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
etre oriente dans le bon service et vers le bon intervet.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
reactivite,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
une rapidite sur la gestion d intervention.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"d une part ce n est pas simple de vous avoir. beaucoup, de papier a remplir et pas simple a comprendre.",RELATION CLIENTELE,ORGANISATION-PROCESS,,
le temps de reaction,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
que votre logiciel de facturation soit plus facile a traiter,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
connaissance de son perimetre et des reponses dans un delais raisonnable,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
je suis satisfait,IMPRESSIONS GENERALES,,,
"parce que je suis satisfaite sur tout, sur les demandes...",IMPRESSIONS GENERALES,,,
simplification un interlocuteur fixe qui connaît le dossier ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
avoir un acces aux personnes qui repondent,ORGANISATION-PROCESS,,,
ameliorer et mieux contrôler les fiches clients,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
prélèvements bancaires sans aucun justificatif fourni. toujours en attente de ces factures ... sans delai nous allons mettre opposition au prélèvement devant votre immobilisme,FACTURATION,PAIEMENT,,
parce que pas bien de donner 10,IMPRESSIONS GENERALES,,,
interlocuteur a l ecoute et tres professionnelle. merci a vous,RELATION CLIENTELE,RELATION CLIENTELE,,
tres bien ainsi,IMPRESSIONS GENERALES,,,
car cette demande a ete initialement faite en octobre 2018 a l ouverture du contrat ... son absence de mise en oeuvre a cette date a occasionner des desagrement administratifs et pecuniaires qui n avaient pas lieu d être. heureusement cela est resolu aujourd hui ! ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
rapidite du retour et reponse positive a ma demande,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
plus de clarete pour acceder a l espace client.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"un interlocuteur, et un seul, et pas nous renvoyer vers votre site. trop facile... ",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
donner la possibilite de recuperer son contrat dans l espace client (bill-e) avoir moins de souci de disponibilite (factures electroniques non visibles de puis 1 semaine).,ESPACE CLIENT,,,
une meilleure reactivite dans les remboursements. ,PAIEMENT,,,
avoitr toujours la même personne quand on appelle et qu elle soit au courant de nos dossiers,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
qu il reponde a ma demande.,ORGANISATION-PROCESS,,,
ameliorer le site internet dedie aux clients : le simplifier. ,ESPACE CLIENT,,,
"j ai eu une reponse rapide. mais je n ai pas ete avertie entre l envoie de mon email et l arrivee du technicien. le suivi est moins bien. a aujourd hui je n ai ni nouvelles, ni rapport post intervention.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,
parce que je n ai rien a remarquer d anormal ou de non convenable.,IMPRESSIONS GENERALES,,,
repondre rapidement et faire le necessaire lorsqu ***** s est trompe.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
peut-être un peu plus d interactivite que l on ait vraiment une personne en ligne souvent le souci c est ça c est le premier contact qui est un peu long apres ça va ça repond aux attentes.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
pas de reponse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"il n y pas eu de soucis , tout s est bien passe.",IMPRESSIONS GENERALES,,,
"apres avoir envoye plusieurs mails, j  ai du rappeler moi, pour avoir confirmation de reception de ces mails, d  autre part **********-deleau n  ai jamais presente a chaque fois que j  appelle, donc malheureusement si cette personne a des problemes de sante, que l  on m  attribu une autre personne comme ' conseiller de clientele ' tout simplement...",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
le delai de traitement et j ai ete oblige de relancer pour que ça aboutisse.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
juste faire un retour quand c est cloture disant que ça a ete pris en compte et en nous dont le resultat du traitement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
plus de reactivite dans le traitement de notre demande malgre un tres accueil.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
"j ai a plusieurs reprises demande des duplicatas de factures. les conseillers telephonique font de leur mieux pour repondre a cette demande. mais parfois, ils n ont pas acces a certaines factures. je dois donc faire un mail au service suivant pour la demander :  ********************************* cette demarche et particulierement longue et comme ca a ete le cas sur ma derniere demande, le duplicata de la facture demande ne m a pas ete envoyee.  par ailleurs, avoir besoin de 15 jours pour repondre a un duplicata de facture pour au final recevoir un mail qui me dit : oui ca correspond bien a cette facture demandee ?!? la demande etait un duplicata... ****** : delai trop long, reponse nebuleuse. pourriez-vous nous permettre de joindre par telephone ce service ? cela permettra de gagner un temps precieux. cordialement.   ",FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
un suivi des appels et de l historique et surtout ne pas confondre nos etablissements.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
envoyer les avis par **** a :  *******************,IMPRESSIONS GENERALES,,,
pas de raison particuliere,IMPRESSIONS GENERALES,,,
ras,IMPRESSIONS GENERALES,,,
"j ai appele pour un duplicata de facture que je n ai pas eu tout de suite car la perosnne avait mal saisi mon mail, donc j ai dû les recontacter.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
pour un entretien telephonique tres vite traite avec des gens formidables et competents patients bref bravo a eux ,RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION
car je n ai aucun probleme avec le fournisseur,IMPRESSIONS GENERALES,,,
"ne sachant pas apres quel dossier arrive ce questionnaire, il est difficile de correctement juger.",IMPRESSIONS GENERALES,,,
tres bonne ecoute et retour lors de nos demandes  excellent service a la clientele,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce qu on n a jamais le même interlocuteur on ne reçoit pas nos factures sious formats papier,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
faire le necessaire suite aux problemes que nous rencontrons,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"***** transmet les donnees de grdf sans aucune intervention humaine permettant de detecter les erreurs grossieres. le personnel est certes aimable, mais quel rôle lui reste-t-il = a quoi sert-il ? en outre la   reactivite   de grdf a environ 3 mois est insupportable.",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"repondre a notre demande, reconnaître l erreur d ***** et nous rembourser la somme indûment prelevee",PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
sans avis,IMPRESSIONS GENERALES,,,
j ai obtenu une reponse a ma question,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que ils ont repondu assez rapidement a mes mails pourquoi pas 10 je suis toujours dans l attente de verifier si tout est ok pour mes contrats.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
facturation retroactive sur 18 mois sans contrat regularise ,CONTRAT,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
la 1ere demande que j ai faite n a pas eu de reponse. j ai eu totale satisfaction suite a une relance de ma part,IMPRESSIONS GENERALES,,,
parce que c etait pas mal je ne vais pas mettre 10 quand même,IMPRESSIONS GENERALES,,,
si ça concerne la solution apportee je l avais deja je pense qu ils n ont pas compris la question. je suis satisfaite par le delai de traitement,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
contrat de 2 ans versement initial,CONTRAT,,,
"la fête locale qui est tous les ans , je m y prends 3 mois a l avance et il me disent qu ils ne savent s ils pourront effectuer les branchements.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
un bon suivi .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
optimisation des taxes,CONTRAT,,,
,IMPRESSIONS GENERALES,,,
"comme je reçois mes factures via chorus, il ne peuvent pas les separer donc il faudrait revoir la fonction sur chorus sur l envoi des factures.",FACTURATION,FACTURATION,,
"qu ils aient un portail qui marche, pour ***** collectivite. des extractions qui marchent.",ESPACE CLIENT,,,
temps de reaction tres court et tres bonne information au sujet de l evolution au niveau du parc.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
nous sommes toujours en attente de l intervention d ****** suite a vos messages,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
reponse rapide,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
disponibilite et reactivite et nous conseiller sur notre consommation en tant qu entreprise.,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
reponse rapide et efficace,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que les prestations attendues auraient dues être fournies des 2016 pour la premiere partie (bilan de consommations).,CONTRAT,,,
"***** a preleve indument sur mon compte bancaire huit prelevements en aout et septembre 2018 pour un montant total de 3537,07 euros. le service commercial, joint par telephone, a trouve l origine de ces prelevements indus (avec les references de prelevement indiquees sur mes comptes bancaires que j ai communique) : ceux sont des factures d un autre de vos clients, qui ont donc etaient preleves par erreur sur mon compte bancaire.  cependant le service de remboursement fait semblant de ne pas comprendre cet etat de fait et ne veut pas me rembourser en indiquant qu il 'ne retrouve pas trace de ces factures et de ses montants sur mon compte client' (et pour cause ce sont des factures d un autre client). il n a même pas pris la peine de regarder la realite de ces prelevements sur mon compte bancaire et faire des recherches avec mes comptes bancaires et les references de prelevement, comme l a fait le service commercial..... cette situation est pourtant tres simple, ma demande est legitime et c est inadmissible de ne pas y faire droit depuis tout ce temps !j ai fait une nouvelle demande de remboursement et je suis dans l attente.... merci de me contacter par telephone, le service remboursement semble ne pas vouloir m appeler. merci de votre bonne attention et diligences.",PAIEMENT,PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION
,IMPRESSIONS GENERALES,,,
reduiire les delais d attente au telephone ,RELATION CLIENTELE,,,
,IMPRESSIONS GENERALES,,,
pedagogie pour les personnes qui doivent traiter vos 'fiches info conso'  qui devraient s appeler 'facture',RELATION CLIENTELE,,,
"il faut reduire les plages d intervention  de 4 heures... ce n est plus possible, il faut affiner les horaires",ORGANISATION-PROCESS,,,
repondre a mes mails d une seule traite pour ne pas avoir a les relancer. la rapidite. qu il me rembourse sans que j ai besoin de reclamer. cela devrait être automatique.,PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
en attente de la verification de la modification,IMPRESSIONS GENERALES,,,
parce que j ai ete dirigee mais je n ai pas eu ma reponse et j ai des difficultes a chaque fois pour trouver le bon interlocuteur il y trop d entites c est trop complique.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
facilite le contact telephonique avec le client,ORGANISATION-PROCESS,,,
être a l ecoute des questions,RELATION CLIENTELE,,,
content de la commande et de la reactivitee,RELATION CLIENTELE,IMPRESSIONS GENERALES,,
,IMPRESSIONS GENERALES,,,
bon ecgange telephonique et passee dans les dates prevues et respect du planning ,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
personne patiente et disponible,RELATION CLIENTELE,RELATION CLIENTELE,,
j ai obtenu l information rapidement.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
on a fait une reclamation pour une facture qui n avait pas ete transmise et elle a ete transmise quand j en ai fait la demande rapidement,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
nous souhaiterions en tant que ************ que les factures soient detaillees (ht/tva/ttc) afin de nous permettre une meilleure gestion a notre niveau pour les enregistrements de factures et les paiements.,FACTURATION,,,
etre plus precis sur les affaires dont il s agit surtout concert les emails automatiques. surtout si on traite plusieurs sujets.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
laisser les employes faire le travail consciencieusement pour un gain de temps et argent au final.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
"rien a dire sur l accueil mais toujours en l attente des factures bien adressees, alors que vos services nous envoient des recommandes pour les regler",FACTURATION,FACTURATION,,
pour ne pas mettre 10 je fais la demande et le travail suit je n ai pas d insatisfaction a apporter le travail est fait dans le delai,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,
repondre aux mails quand on les envoie,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"j ai eu une reponse correcte a ma demande, une recherche de solution par votre collaborateur et j ai ressenti une ecoute.
donc, je suis satisfaite c est bien de pouvoir encore parler a des gens qui suivent notre dossier",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE
"ma demande a ete bien cernee, et la reponse a ete adaptee a mes besoins",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que je suis satisfaite du traitement cependant ils ont tarde a le mettre en place,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
parce que les debuts ont etaient tres compliques mais ils se sont ameliores. j ai eu une reponse assez rapide donc c est plutôt satisfaisant.,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
"mon probleme devait être solutionne et plus personne ne me contacte. normalement, la derniere personne m avait dit que le necessaire serait fait donc c est a moi  edrappeler pour savoir.",TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"j ai reçu un remboursement en 2017 et un avoir pour la même chose en 2018 , j ai donc utilise 2 fois cet avoir et ai dû contacter vos services pour s y retrouver et passer de nouvelles ecritures comptables  ",PAIEMENT,,,
rapidite dans la demande.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
"dans l ensemble, ils repondent assez vite par mail. le traitement est rapide.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
car on peut toujours mieux faire,IMPRESSIONS GENERALES,,,
personne charmante et très concernée par ma demande mais n a pas pu tout résoudre immédiatement,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
qu il y ait plus de suivi lors des demandes dans des cas particuliers.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
de mettre en place un systeme qualite et des processus et une transparence de fonctionnement.,ORGANISATION-PROCESS,,,
impossible d obtenir la modification de notre adresse de facturation,FACTURATION,,,
"l intervenant etait incapable ou il devait se rendre, j etais assez surprise.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
parce que ça a mis du temps avant d avoir une reponse et sans explications et la personne qui devait me rappeler ne m a rappele donc le suivi est moyen.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
"interlocutrice etait aimbale, elle a compris ma demande et l a traite de facon rapide et efficace.",RELATION CLIENTELE,RELATION CLIENTELE,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION
parce que je n ai pas de retour d ***** ni d ******.,TRAITEMENT DE LA DEMANDE-RECLAMATION,ORGANISATION-PROCESS,,
"pour les collectivites, avoir un contact plus facile. il faudrait avoir un intermediaire qui puisse intervenir car nous n avons jamais les mêmes personnes au telephone.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
j attend que l on me communique les factures du site concerne qui n avait pas ete facture,FACTURATION,,,
,IMPRESSIONS GENERALES,,,
je n ai rien compris,IMPRESSIONS GENERALES,,,
.,IMPRESSIONS GENERALES,,,
delai non respecte,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
10 c est parfait et personne n est parfait.,IMPRESSIONS GENERALES,,,
parce que j ai demande que ce soit fait rapidement et ça s est fait encore plus rapidement que prevu.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ces histoires que ce soit plus clair pour avoir les comptes de facturation sur l espace tout de suite. la commune a bien les acces mais elle n a pas tous ses compteurs ni tous ses sites et je ne sais pas pourquoi.,ESPACE CLIENT,,,
"tableau recapitulatif mensuel des diverses demandes avec pdl,code edi etc",ORGANISATION-PROCESS,,,
un conseiller dedie,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
neant,IMPRESSIONS GENERALES,,,
j ai eu une reponse a ma question. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
ras,IMPRESSIONS GENERALES,,,
car parfois nos interlocuteurs ne sont pas toujours de qualite car on a parfois du mal a se comprendre.,ORGANISATION-PROCESS,,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
etablir des avoirs pour les avances sur consommation même s il n y a pas de tva,PAIEMENT,,,
,IMPRESSIONS GENERALES,,,
ils ont repondu a ma demande dans un delai assez raisonnable.,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
,IMPRESSIONS GENERALES,,,
,IMPRESSIONS GENERALES,,,
"pour le temps de reponse, cela a dure plusieurs semaines. je n ai pas ete totalement satisfait de la pertinence de la reponse et il me doive toujours d el argent.",PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"reactivite c est tout, ça me suffit.",RELATION CLIENTELE,,,
,IMPRESSIONS GENERALES,,,
"parce que je trouve que 8 c est bien. j vais demande que cela soit deduit de notre prochaine facture mais cela n a pas ete fait. mais nous avons ete rembourses, donc c est positif pour nous. ",PAIEMENT,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
"pour leurs reactivite, parce qu ils ont ete reactif je leurs ait envoye le mail et j ai eu une reponse le lendemain.",TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
que ***** entreprise et ***** pro puisse echanger les informations sans que le clients soit renvoyer de l un a l autre.,ORGANISATION-PROCESS,,,
je n ai pas eu de retour comme quoi cela avait ete accepte et pas de retou sur la question posee .,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
etre a l ecoute et essayer de trouver des solutions au lieu de ne penser qu a faire payer les factures coûte que coûte..................................,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
continuer comme ça pas ,IMPRESSIONS GENERALES,,,
"parce qu avec *****, ça va pas. parfois on reçoit des factures d avoirs, qu il faut ensuite annuler sans savoir pourquoi. il n y a un suivi correct. un truc cloche au niveau comptabilite; il y a des factures qu on ne reçoit pas. on reçoit des avoirs mais pas les annulmations.",FACTURATION,FACTURATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
,IMPRESSIONS GENERALES,,,
essayer l acceptation des contrats en ligne,ORGANISATION-PROCESS,,,
une augmentation tres importante de l abonnement sur la facture. ,CONTRAT,,,
/,IMPRESSIONS GENERALES,,,
ma demande a ete traitee dans son integralite,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
ca a ete tres rapide.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
,IMPRESSIONS GENERALES,,,
"merci de mettre dans vos prelevements des references nous permettant d identifier immediatement l etablissement hospitalier concerne (pour informations, nous en gerons 26), et surtout des references qui permettent a vos interlocuteurs de repondre par telephone a notre demande, ne nous obligeant pas a passer plusieurs appels telephoniques et mails...",RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
ma demande n a pas ete satisfaite bien qu une solution soit proposee par *****. la proposition ne nous satisfait pas a 100%.,TRAITEMENT DE LA DEMANDE-RECLAMATION,,,
il y a eu une reactivite globalement ça repond aux demandes dans des delais qui sont satifaisants et en cas de demande de precision ou de mise a jour des demandes la reactivite est la,RELATION CLIENTELE,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,
parce que vous avez repondu tres vite et dans mes attentes,TRAITEMENT DE LA DEMANDE-RECLAMATION,TRAITEMENT DE LA DEMANDE-RECLAMATION,,
la personne personne a tres bien repondu a mes attentes. elle a pris le temps de m appeler egalement avant la clôture du dossier.,RELATION CLIENTELE,ORGANISATION-PROCESS,,
,IMPRESSIONS GENERALES,,,
quand je raccrohe j etait satisfaite. j ai reçue par *************** et ça c etait se que j ai souhaite donç j etait satisfait. ,TRAITEMENT DE LA DEMANDE-RECLAMATION,IMPRESSIONS GENERALES,,
qu il y est un espace client global pour l ensemble des immeubles geres par un même syndicat.,ESPACE CLIENT,,,
c est simplement je ne suis pas insatisfait des services d ***** j attends simplement les factures,FACTURATION,,,
rien,IMPRESSIONS GENERALES,,,
